                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.55587,                0.67576,                 1.0465,                0.98274,                0.97467,                0.97545,                 0.8984,                0.44548,                0.53588,                 1.0213,              0.0058755,              0.0058755,              0.0058755
                    136,                0.54215,                0.67112,                 1.0275,                0.98789,                0.96721,                0.97897,                0.90191,                 0.4421,                0.55213,                 1.0059,              0.0058244,              0.0058244,              0.0058244
                    137,                0.52766,                0.66204,                 1.0352,                0.97496,                0.97484,                0.97989,                0.90528,                0.44244,                0.55997,                0.99635,              0.0057731,              0.0057731,              0.0057731
                    138,                0.52541,                0.65373,                  1.032,                0.96651,                0.97575,                0.97582,                0.89749,                0.44489,                0.56202,                 1.0088,              0.0057218,              0.0057218,              0.0057218
                    139,                0.53626,                0.66707,                 1.0274,                0.98865,                 0.9691,                0.97846,                0.90565,                0.44224,                0.56119,                 1.0032,              0.0056704,              0.0056704,              0.0056704
                    140,                 0.5322,                0.66254,                 1.0308,                0.98164,                0.97654,                0.97766,                0.90361,                0.45033,                0.59382,                 1.0155,              0.0056189,              0.0056189,              0.0056189
                    141,                0.52939,                 0.6548,                 1.0305,                0.98495,                0.96931,                0.98015,                0.90524,                0.44613,                0.54063,                 1.0178,              0.0055674,              0.0055674,              0.0055674
                    142,                0.55112,                0.65157,                 1.0336,                0.98368,                0.97608,                0.97767,                0.90277,                0.43876,                0.54937,                 1.0003,              0.0055158,              0.0055158,              0.0055158
                    143,                0.52505,                0.65464,                 1.0265,                0.98651,                0.97263,                0.98019,                0.90742,                0.44002,                0.57068,                0.98943,              0.0054642,              0.0054642,              0.0054642
                    144,                 0.5182,                0.62743,                 1.0215,                0.98217,                0.96546,                 0.9787,                0.90639,                0.44207,                0.55449,                 1.0032,              0.0054125,              0.0054125,              0.0054125
                    145,                0.52479,                0.63828,                 1.0255,                0.98183,                0.97425,                 0.9797,                0.90695,                0.44213,                0.56142,                0.99804,              0.0053608,              0.0053608,              0.0053608
                    146,                0.53151,                0.63293,                   1.01,                0.98181,                0.97062,                0.97885,                0.90246,                0.44611,                0.54242,                  1.013,              0.0053091,              0.0053091,              0.0053091
                    147,                0.51337,                0.63379,                 1.0223,                 0.9901,                0.97501,                0.97629,                0.90291,                0.46133,                0.56964,                 1.0186,              0.0052573,              0.0052573,              0.0052573
                    148,                0.52495,                0.64005,                 1.0305,                0.98198,                0.97618,                0.97871,                0.90001,                0.46331,                0.55046,                 1.0333,              0.0052055,              0.0052055,              0.0052055
                    149,                0.53745,                0.65463,                 1.0266,                0.98056,                0.97518,                0.97888,                0.90128,                 0.4386,                0.55059,                 1.0114,              0.0051537,              0.0051537,              0.0051537
                    150,                 0.5438,                0.64279,                 1.0233,                0.98286,                0.97732,                0.98145,                0.91143,                0.43032,                0.51073,                 0.9906,              0.0051018,              0.0051018,              0.0051018
